Year,Month,CITY,Total
1970,Sep,NEW LISKEA,10
1970,Sep,NEWMARKET,24
1970,Sep,NIAGARA FA,66
1970,Sep,NIAGARA L,12
1970,Sep,NORTH YORK,9
1970,Sep,NORWICH,8
1970,Sep,OAKVILLE,39
1970,Sep,ORILLIA,27
1970,Sep,OSHAWA,72
1970,Sep,OTTAWA,421
1970,Sep,OWEN SOUND,22
1970,Sep,PARIS,11
1970,Sep,PARRY SOUN,13
1970,Sep,PEMBROKE,23
1970,Sep,PERTH,11
1970,Sep,PETERBOROU,56
1970,Sep,PICKERING,9
1970,Sep,PICTON,15
1970,Sep,PORT COLBORNE,6
1970,Sep,PRESTON,20
1970,Sep,PT COLBORN,22
1970,Sep,PT CREDIT,18
1970,Sep,PT HOPE,10
1970,Sep,RENFREW,18
1970,Sep,RICHMOND H,31
1970,Sep,ROCKLAND,6
1970,Sep,SA S MARIE,66
1970,Sep,SALTFLEE T,8
1970,Sep,SARNIA,59
1970,Sep,SCARBOROUG,204
1970,Sep,SCARBOROUGH,10
1970,Sep,SIMCOE,11
1970,Sep,SMITHS FAL,16
1970,Sep,ST CATHARI,85
1970,Sep,ST MARYS,10
1970,Sep,ST THOMAS,39
1970,Sep,STONEY CRE,9
1970,Sep,STOUFFVILL,9
1970,Sep,STRATFORD,27
1970,Sep,STRATHROY,10
1970,Sep,STREETSVIL,10
1970,Sep,STURGEON F,10
1970,Sep,SUDBURY,81
1970,Sep,TECK T,13
1970,Sep,THOROLD,11
1970,Sep,THUNDER B,76
1970,Sep,THUNDER BAY,9
1970,Sep,TILLSONBUR,11
1970,Sep,TIMMINS,29
1970,Sep,TORONTO,1370
1970,Sep,TRENTON,16
1970,Sep,UXBRIDGE,6
1970,Sep,VANIER CIT,17
1970,Sep,WALKERTON,10
1970,Sep,WALLACEBUR,19
1970,Sep,WATERDOWN,7
1970,Sep,WATERLOO,34
1970,Sep,WATFORD,6
1970,Sep,WELLAND,49
1970,Sep,WHITBY,19
1970,Sep,WINDSOR,193
1970,Sep,WOODSTOCK,30
1970,Sep,WYOMING,6
1970,Sep,YORK,60
1971,Apr,AMHERSTBUR,6
1971,Apr,ANCASTER,6
1971,Apr,ARNPRIOR,7
1971,Apr,AURORA,6
1971,Apr,AYLMER,7
1971,Apr,BANCROFT,6
1971,Apr,BARRIE,22
1971,Apr,BELLEVILLE,28
1971,Apr,BOWMANVILL,6
1971,Apr,BRACEBRIDG,6
1971,Apr,BRAMPTON,15
1971,Apr,BRANTFORD,45
1971,Apr,BROCKVILLE,10
1971,Apr,BURLINGTON,25
1971,Apr,CHATHAM,30
1971,Apr,COBOURG,6
1971,Apr,CORNWALL,29
1971,Apr,DRYDEN,8
1971,Apr,E YORK,18
1971,Apr,ETOBICOKE,92
1971,Apr,FT ERIE,12
1971,Apr,FT FRANCES,10
1971,Apr,GALT,28
1971,Apr,GEORGETOWN,13
1971,Apr,GODERICH,6
1971,Apr,GUELPH,32
1971,Apr,HAMILTON,226
1971,Apr,KENORA,7
1971,Apr,KING T,6
1971,Apr,KINGSTON,49
1971,Apr,KINGSVILLE,7
1971,Apr,KITCHENER,79
1971,Apr,LEAMINGTON,10
1971,Apr,LINDSAY,15
1971,Apr,LONDON,136
1971,Apr,MARKHAM,13
1971,Apr,MISSISSAUG,38
1971,Apr,N BAY,22
1971,Apr,N YORK,104
1971,Apr,NAPANEE,7
1971,Apr,NEWMARKET,13
1971,Apr,NIAGARA FA,30
1971,Apr,NIAGARA L,6
1971,Apr,NORTH YORK,11
1971,Apr,OAKVILLE,33
1971,Apr,ORANGEVILL,8
1971,Apr,ORILLIA,12
1971,Apr,OSHAWA,56
1971,Apr,OTTAWA,217
1971,Apr,OWEN SOUND,17
1971,Apr,PEMBROKE,9
1971,Apr,PETERBOROU,41
1971,Apr,PRESTON,16
1971,Apr,PT COLBORN,9
1971,Apr,PT CREDIT,7
1971,Apr,PT HOPE,11
1971,Apr,RENFREW,6
1971,Apr,RICHMOND H,24
1971,Apr,SA S MARIE,47
1971,Apr,SARNIA,34
1971,Apr,SCARBOROUG,124
1971,Apr,SCARBOROUGH,7
1971,Apr,SMITHS FAL,6
1971,Apr,ST CATHARI,63
1971,Apr,ST THOMAS,22
1971,Apr,STONEY CRE,8
1971,Apr,STRATFORD,20
1971,Apr,SUDBURY,74
1971,Apr,THOROLD,8
1971,Apr,THUNDER B,61
1971,Apr,TILLSONBUR,9
1971,Apr,TIMMINS,20
1971,Apr,TORONTO,1072
1971,Apr,TRENTON,8
1971,Apr,VANIER CIT,11
1971,Apr,VAUGHAN,11
1971,Apr,WALLACEBUR,7
1971,Apr,WATERLOO,19
1971,Apr,WELLAND,17
1971,Apr,WHITBY,8
1971,Apr,WINDSOR,145
1971,Apr,WOODSTOCK,25
1971,Apr,YORK,36
1971,Aug,AJAX,7
1971,Aug,ALEXANDRIA,7
1971,Aug,ALLISTON,10
1971,Aug,AMHERSTBUR,8
1971,Aug,ANCASTER,7
1971,Aug,ATIKOKAN,8
1971,Aug,AURORA,12
1971,Aug,AYLMER,12
1971,Aug,AZILDA,6
1971,Aug,BANCROFT,6
1971,Aug,BARRIE,41
1971,Aug,BELLEVILLE,46
1971,Aug,BLENHEIM,11
1971,Aug,BLIND R,7
1971,Aug,BRACEBRIDG,13
1971,Aug,BRAMPTON,38
1971,Aug,BRANTFORD,73
1971,Aug,BRIGHTON,7
1971,Aug,BROCKVILLE,33
1971,Aug,BURLINGTON,73
1971,Aug,CAMPBELLFO,12
1971,Aug,CAYUGA,6
1971,Aug,CFB BORDEN,9
1971,Aug,CHATHAM,36
1971,Aug,CHELMSFORD,7
1971,Aug,CHINGUAC T,8
1971,Aug,COBOURG,21
1971,Aug,COLLINGWOO,11
1971,Aug,COPPER CLI,11
1971,Aug,CORNWALL,67
1971,Aug,DRYDEN,10
1971,Aug,DUNDAS,12
1971,Aug,DUNNVILLE,10
1971,Aug,E GWILLI T,7
1971,Aug,E YORK,25
1971,Aug,ELMIRA,7
1971,Aug,ENGLEHART,7
1971,Aug,ESPANOLA,13
1971,Aug,ETOBICOKE,196
1971,Aug,FT ERIE,20
1971,Aug,FT FRANCES,18
1971,Aug,GALT,38
1971,Aug,GANANOQUE,10
1971,Aug,GARSON,6
1971,Aug,GEORGETOWN,30
1971,Aug,GEORGINA T,11
1971,Aug,GLOUCEST T,11
1971,Aug,GUELPH,59
1971,Aug,HAILEYBURY,9
1971,Aug,HAMILTON,334
1971,Aug,HAWKESBURY,15
1971,Aug,HEARST,10
1971,Aug,HESPELER,7
1971,Aug,HUNTSVILLE,11
1971,Aug,INGERSOLL,6
1971,Aug,KAPUSKASIN,13
1971,Aug,KENORA,20
1971,Aug,KING T,8
1971,Aug,KINGSTON,106
1971,Aug,KINGSVILLE,9
1971,Aug,KIRKLAND L,7
1971,Aug,KITCHENER,121
1971,Aug,LEAMINGTON,16
1971,Aug,LINCOLN,7
1971,Aug,LINDSAY,19
1971,Aug,LISTOWEL,6
1971,Aug,LIVELY,7
1971,Aug,LONDON,243
1971,Aug,MARKHAM,26
1971,Aug,MATTAWA,6
1971,Aug,MIDLAND,9
1971,Aug,MILTON,11
1971,Aug,MISSISSAUG,78
1971,Aug,N BAY,76
1971,Aug,N YORK,212
1971,Aug,NAPANEE,13
1971,Aug,NEPEAN T,17
1971,Aug,NEW LISKEA,16
1971,Aug,NEWCASTLE,7
1971,Aug,NEWMARKET,24
1971,Aug,NIAGARA FA,65
1971,Aug,NIAGARA L,9
1971,Aug,NORTH BAY,6
1971,Aug,NORTH YORK,17
1971,Aug,OAKVILLE,78
1971,Aug,ORANGEVILL,11
1971,Aug,ORILLIA,32
1971,Aug,OSHAWA,93
1971,Aug,OTTAWA,459
1971,Aug,OWEN SOUND,28
1971,Aug,PARIS,7
1971,Aug,PARRY SOUN,11
1971,Aug,PELHAM,9
1971,Aug,PEMBROKE,30
1971,Aug,PERTH,11
1971,Aug,PETAWAWA,8
1971,Aug,PETERBOROU,75
1971,Aug,PETERBOROUGH,7
1971,Aug,PETROLIA,8
1971,Aug,PICKERING,6
1971,Aug,PICTON,10
1971,Aug,PRESCOTT,9
1971,Aug,PRESTON,23
1971,Aug,PT COLBORN,30
1971,Aug,PT CREDIT,14
1971,Aug,PT HOPE,12
1971,Aug,RENFREW,20
1971,Aug,RICHMOND H,35
1971,Aug,SA S MARIE,102
1971,Aug,SALTFLEE T,9
1971,Aug,SARNIA,76
1971,Aug,SAULT STE MARIE,9
1971,Aug,SCARBOROUG,191
1971,Aug,SCARBOROUGH,17
1971,Aug,SIMCOE,7
1971,Aug,SM R FALLS,6
1971,Aug,SMITHS FAL,20
1971,Aug,ST CATHARI,117
1971,Aug,ST MARYS,6
1971,Aug,ST THOMAS,45
1971,Aug,STONEY CRE,12
1971,Aug,STRATFORD,36
1971,Aug,STRATHROY,7
1971,Aug,STURGEON F,17
1971,Aug,SUDBURY,149
1971,Aug,TECK T,9
1971,Aug,THOROLD,13
1971,Aug,THUNDER B,152
1971,Aug,TILLSONBUR,11
1971,Aug,TIMMINS,46
1971,Aug,TORONTO,1432
1971,Aug,TRENTON,31
1971,Aug,UXBRIDGE,7
1971,Aug,VAL CARON,7
1971,Aug,VANIER CIT,20
1971,Aug,VAUGHAN,24
1971,Aug,WALKERTON,6
1971,Aug,WALLACEBUR,16
1971,Aug,WATERDOWN,6
1971,Aug,WATERLOO,57
1971,Aug,WELLAND,57
1971,Aug,WHITBY,23
1971,Aug,WHITCHUR S,10
1971,Aug,WINDSOR,210
1971,Aug,WOODSTOCK,30
1971,Aug,YORK,47
1971,Dec,AJAX,8
1971,Dec,ARNPRIOR,6
1971,Dec,BARRIE,29
1971,Dec,BELLE R,9
1971,Dec,BELLEVILLE,36
1971,Dec,BOWMANVILL,6
1971,Dec,BRACEBRIDG,7
1971,Dec,BRAMPTON,24
1971,Dec,BRANTFORD,35
1971,Dec,BROCKVILLE,13
1971,Dec,BRUCE MINE,8
1971,Dec,BURLINGTON,33
1971,Dec,CAMPBELLFO,7
1971,Dec,CFB PETAWA,8
1971,Dec,CHATHAM,23
1971,Dec,CHINGUAC T,12
1971,Dec,COCHRANE,6
1971,Dec,COLLINGWOO,7
1971,Dec,CORNWALL,47
1971,Dec,DUNDAS,9
1971,Dec,E YORK,8
1971,Dec,ETOBICOKE,86
1971,Dec,FT ERIE,9
1971,Dec,GALT,24
1971,Dec,GEORGETOWN,13
1971,Dec,GEORGINA T,6
1971,Dec,GUELPH,37
1971,Dec,HAMILTON,192
1971,Dec,HARROW,6
1971,Dec,HAWKESBURY,11
1971,Dec,HEARST,6
1971,Dec,HUNTSVILLE,6
1971,Dec,KAPUSKASIN,9
1971,Dec,KENORA,10
1971,Dec,KINGSTON,59
1971,Dec,KITCHENER,73
1971,Dec,LEAMINGTON,14
1971,Dec,LINDSAY,8
1971,Dec,LIVELY,6
1971,Dec,LONDON,136
1971,Dec,MARKHAM,17
1971,Dec,MIDLAND,9
1971,Dec,MISSISSAUG,55
1971,Dec,N BAY,18
1971,Dec,N YORK,157
1971,Dec,NEPEAN T,12
1971,Dec,NEWMARKET,8
1971,Dec,NIAGARA FA,24
1971,Dec,NIAGARA L,6
1971,Dec,NORTH YORK,10
1971,Dec,NORWICH,6
1971,Dec,OAKVILLE,38
1971,Dec,ORANGEVILL,9
1971,Dec,ORILLIA,15
1971,Dec,OSHAWA,53
1971,Dec,OTTAWA,288
1971,Dec,OWEN SOUND,16
1971,Dec,PARRY SOUN,6
1971,Dec,PEMBROKE,7
1971,Dec,PETERBOROU,40
1971,Dec,PICTON,6
1971,Dec,PT COLBORN,8
1971,Dec,PT CREDIT,15
1971,Dec,PT DOVER,6
1971,Dec,RENFREW,9
1971,Dec,RICHMOND H,23
1971,Dec,SA S MARIE,48
1971,Dec,SARNIA,38
1971,Dec,SCARBOROUG,100
1971,Dec,SCARBOROUGH,6
1971,Dec,SMITHS FAL,9
1971,Dec,ST CATHARI,76
1971,Dec,ST THOMAS,14
1971,Dec,STRATFORD,27
1971,Dec,STREETSVIL,6
1971,Dec,STURGEON F,7
1971,Dec,SUDBURY,102
1971,Dec,THOROLD,8
1971,Dec,THUNDER B,67
1971,Dec,TIMMINS,32
1971,Dec,TORONTO,1292
1971,Dec,TRENTON,14
1971,Dec,VANIER,16
1971,Dec,VAUGHAN,13
1971,Dec,WALLACEBUR,7
1971,Dec,WATERLOO,25
1971,Dec,WELLAND,43
1971,Dec,WHITBY,15
1971,Dec,WINDSOR,140
1971,Dec,WOODSTOCK,19
1971,Dec,YORK,34
1971,Feb,BARRIE,18
1971,Feb,BELLEVILLE,21
1971,Feb,BRAMPTON,18
1971,Feb,BRANTFORD,31
1971,Feb,BROCKVILLE,11
1971,Feb,BURLINGTON,23
1971,Feb,CHATHAM,15
1971,Feb,CHINGUAC T,7
1971,Feb,COCHRANE,6
1971,Feb,CORNWALL,23
1971,Feb,DEEP R,6
1971,Feb,DRYDEN,6
1971,Feb,DUNDAS,9
1971,Feb,E YORK,11
1971,Feb,ESPANOLA,8
1971,Feb,ETOBICOKE,58
1971,Feb,FT ERIE,6
1971,Feb,GALT,22
1971,Feb,GEORGETOWN,11
1971,Feb,GUELPH,16
1971,Feb,HAMILTON,161
1971,Feb,HUNTSVILLE,7
1971,Feb,KENORA,7
1971,Feb,KINGSTON,51
1971,Feb,KIRKLAND L,7
1971,Feb,KITCHENER,68
1971,Feb,LEAMINGTON,7
1971,Feb,LINDSAY,8
1971,Feb,LONDON,103
1971,Feb,MARKHAM,7
1971,Feb,MIDLAND,7
1971,Feb,MISSISSAUG,31
1971,Feb,N BAY,15
1971,Feb,N YORK,93
1971,Feb,NAPANEE,7
1971,Feb,NEPEAN T,6
1971,Feb,NEWMARKET,13
1971,Feb,NIAGARA FA,24
1971,Feb,OAKVILLE,20
1971,Feb,ORILLIA,7
1971,Feb,OSHAWA,39
1971,Feb,OTTAWA,140
1971,Feb,OWEN SOUND,8
1971,Feb,PETERBOROU,25
1971,Feb,PETROLIA,6
1971,Feb,PRESTON,6
1971,Feb,PT COLBORN,7
1971,Feb,PT CREDIT,8
1971,Feb,PT HOPE,10
1971,Feb,RICHMOND H,12
1971,Feb,SA S MARIE,39
1971,Feb,SARNIA,28
1971,Feb,SCARBOROUG,89
1971,Feb,SMITHS FAL,10
1971,Feb,ST CATHARI,47
1971,Feb,ST THOMAS,16
1971,Feb,STONEY CRE,6
1971,Feb,STRATFORD,11
1971,Feb,SUDBURY,53
1971,Feb,THOROLD,6
1971,Feb,THUNDER B,47
1971,Feb,TIMMINS,11
1971,Feb,TORONTO,745
1971,Feb,TRENTON,12
1971,Feb,VANIER CIT,8
1971,Feb,VAUGHAN,10
1971,Feb,WATERLOO,14
1971,Feb,WELLAND,15
1971,Feb,WHITBY,9
1971,Feb,WINDSOR,107
1971,Feb,WOODSTOCK,15
1971,Feb,YORK,23
1971,Jan,BARRIE,15
1971,Jan,BELLEVILLE,21
1971,Jan,BOWMANVILL,6
1971,Jan,BRAMPTON,15
1971,Jan,BRANTFORD,25
1971,Jan,BROCKVILLE,10
1971,Jan,BURLINGTON,15
1971,Jan,CHATHAM,13
1971,Jan,CORNWALL,14
1971,Jan,E YORK,12
1971,Jan,ESSEX,7
1971,Jan,ETOBICOKE,53
1971,Jan,FT ERIE,9
1971,Jan,GALT,17
1971,Jan,GEORGETOWN,9
1971,Jan,GEORGINA T,6
1971,Jan,GUELPH,12
1971,Jan,HAMILTON,111
1971,Jan,KENORA,6
1971,Jan,KINGSTON,23
1971,Jan,KITCHENER,46
1971,Jan,LEAMINGTON,8
1971,Jan,LINCOLN,9
1971,Jan,LONDON,102
1971,Jan,MISSISSAUG,35
1971,Jan,N BAY,13
1971,Jan,N YORK,70
1971,Jan,NAPANEE,6
1971,Jan,NEWMARKET,11
1971,Jan,NIAGARA FA,14
1971,Jan,OAKVILLE,25
1971,Jan,ORILLIA,9
1971,Jan,OSHAWA,33
1971,Jan,OTTAWA,135
1971,Jan,OWEN SOUND,6
1971,Jan,PARRY SOUN,7
1971,Jan,PEMBROKE,12
1971,Jan,PETERBOROU,24
1971,Jan,RICHMOND H,9
1971,Jan,SA S MARIE,24
1971,Jan,SARNIA,21
1971,Jan,SCARBOROUG,57
1971,Jan,SIMCOE,6
1971,Jan,ST CATHARI,32
1971,Jan,ST THOMAS,14
1971,Jan,STRATFORD,10
1971,Jan,STURGEON F,6
1971,Jan,SUDBURY,50
1971,Jan,THUNDER B,37
1971,Jan,TIMMINS,10
1971,Jan,TORONTO,679
1971,Jan,TRENTON,6
1971,Jan,VANIER CIT,7
1971,Jan,WATERLOO,9
1971,Jan,WELLAND,17
1971,Jan,WINDSOR,95
1971,Jan,WOODSTOCK,9
1971,Jan,YORK,17
1971,Jul,ACTON,10
1971,Jul,AJAX,15
1971,Jul,ALEXANDRIA,8
1971,Jul,ALMONTE,7
1971,Jul,AMHERSTBUR,10
1971,Jul,ANCASTER,12
1971,Jul,ARNPRIOR,12
1971,Jul,ATIKOKAN,7
1971,Jul,AURORA,11
1971,Jul,AYLMER,10
1971,Jul,BANCROFT,11
1971,Jul,BARRIE,52
1971,Jul,BELLEVILLE,51
1971,Jul,BOLTON,6
1971,Jul,BOWMANVILL,18
1971,Jul,BRACEBRIDG,10
1971,Jul,BRAMPTON,49
1971,Jul,BRANTFOR T,6
1971,Jul,BRANTFORD,100
1971,Jul,BRIGHTON,9
1971,Jul,BROCKVILLE,29
1971,Jul,BURLINGTON,68
1971,Jul,CALEDONIA,12
1971,Jul,CAMPBELLFO,8
1971,Jul,CAYUGA,6
1971,Jul,CFB BORDEN,8
1971,Jul,CHATHAM,45
1971,Jul,CHELMSFORD,9
1971,Jul,CHINGUAC T,16
1971,Jul,CLINTON,8
1971,Jul,COBOURG,20
1971,Jul,COCHRANE,9
1971,Jul,COLLINGWOO,13
1971,Jul,CONISTON,9
1971,Jul,COPPER CLI,11
1971,Jul,CORNWALL,96
1971,Jul,CORUNNA,6
1971,Jul,DARLINGT T,6
1971,Jul,DRYDEN,6
1971,Jul,DUNDAS,14
1971,Jul,E YORK,33
1971,Jul,ELLIOT L T,7
1971,Jul,ENGLEHART,7
1971,Jul,ESPANOLA,9
1971,Jul,ESSEX,9
1971,Jul,ETOBICOKE,171
1971,Jul,EXETER,8
1971,Jul,FENELON FA,6
1971,Jul,FT ERIE,17
1971,Jul,FT FRANCES,14
1971,Jul,GALT,52
1971,Jul,GANANOQUE,8
1971,Jul,GARSON,9
1971,Jul,GEORGETOWN,38
1971,Jul,GEORGINA T,12
1971,Jul,GODERICH,15
1971,Jul,GRAVENHURS,6
1971,Jul,GRIMSBY,11
1971,Jul,GUELPH,80
1971,Jul,HAILEYBURY,13
1971,Jul,HAMILTON,350
1971,Jul,HANOVER,6
1971,Jul,HAWKESBURY,17
1971,Jul,HEARST,10
1971,Jul,HESPELER,7
1971,Jul,HUNTSVILLE,8
1971,Jul,INGERSOLL,8
1971,Jul,IROQUOIS F,8
1971,Jul,KAPUSKASIN,16
1971,Jul,KENORA,17
1971,Jul,KINCARDINE,6
1971,Jul,KING T,15
1971,Jul,KINGSTON,104
1971,Jul,KINGSVILLE,8
1971,Jul,KIRKLAND L,14
1971,Jul,KITCHENER,175
1971,Jul,LAKEFIELD,6
1971,Jul,LANGTON,7
1971,Jul,LEAMINGTON,21
1971,Jul,LINCOLN,7
1971,Jul,LINDSAY,15
1971,Jul,LISTOWEL,8
1971,Jul,LONDON,267
1971,Jul,MALAHIDE T,7
1971,Jul,MARKHAM,22
1971,Jul,MATTAWA,6
1971,Jul,MIDLAND,21
1971,Jul,MILDMAY,6
1971,Jul,MILLBROOK,6
1971,Jul,MILTON,25
1971,Jul,MISSISSAUG,87
1971,Jul,MT FOREST,6
1971,Jul,N BAY,64
1971,Jul,N YORK,252
1971,Jul,NAPANEE,8
1971,Jul,NEPEAN T,15
1971,Jul,NEW HAMBUR,7
1971,Jul,NEW LISKEA,13
1971,Jul,NEWMARKET,17
1971,Jul,NIAGARA FA,57
1971,Jul,NIAGARA L,12
1971,Jul,NORTH YORK,17
1971,Jul,NORWICH,9
1971,Jul,OAKVILLE,66
1971,Jul,ORANGEVILL,14
1971,Jul,ORILLIA,39
1971,Jul,ORLEANS,6
1971,Jul,OSHAWA,107
1971,Jul,OTTAWA,427
1971,Jul,OWEN SOUND,29
1971,Jul,PARRY SOUN,12
1971,Jul,PELHAM,8
1971,Jul,PEMBROKE,35
1971,Jul,PENETANGUI,16
1971,Jul,PERTH,15
1971,Jul,PETAWAWA,10
1971,Jul,PETERBOROU,78
1971,Jul,PICKERIN T,6
1971,Jul,PICKERING,6
1971,Jul,PICTON,12
1971,Jul,PRESCOTT,22
1971,Jul,PRESTON,20
1971,Jul,PT COLBORN,26
1971,Jul,PT CREDIT,16
1971,Jul,PT DOVER,8
1971,Jul,PT HOPE,15
1971,Jul,PT PERRY,6
1971,Jul,PT ROWAN,6
1971,Jul,RENFREW,14
1971,Jul,RICHMOND H,38
1971,Jul,RIDGETOWN,7
1971,Jul,ROCKLAND,8
1971,Jul,SA S MARIE,93
1971,Jul,SALTFLEE T,16
1971,Jul,SARNIA,74
1971,Jul,SAULT STE MARIE,6
1971,Jul,SCARBOROUG,249
1971,Jul,SCARBOROUGH,13
1971,Jul,SEAFORTH,7
1971,Jul,SIDNEY T,7
1971,Jul,SIMCOE,18
1971,Jul,SIOUX LOOK,8
1971,Jul,SMITHS FAL,23
1971,Jul,ST CATHARI,139
1971,Jul,ST CATHARINES,6
1971,Jul,ST MARYS,8
1971,Jul,ST THOMAS,34
1971,Jul,STONEY CRE,8
1971,Jul,STRATFORD,36
1971,Jul,STRATHROY,10
1971,Jul,STREETSVIL,8
1971,Jul,STURGEON F,11
1971,Jul,SUDBURY,142
1971,Jul,TECK T,6
1971,Jul,TECUMSEH,10
1971,Jul,THESSALON,6
1971,Jul,THOROLD,22
1971,Jul,THUNDER B,133
1971,Jul,THUNDER BAY,12
1971,Jul,TILBURY,12
1971,Jul,TILLSONBUR,10
1971,Jul,TIMMINS,44
1971,Jul,TORONTO,1527
1971,Jul,TRENTON,21
1971,Jul,TUSCAROR T,6
1971,Jul,UXBRIDGE,6
1971,Jul,VALLEY E T,7
1971,Jul,VANIER CIT,26
1971,Jul,VANKLEEK H,6
1971,Jul,VAUGHAN,25
1971,Jul,W LINCOL T,11
1971,Jul,W LORNE,6
1971,Jul,WALKERTON,6
1971,Jul,WALLACEBUR,15
1971,Jul,WATERDOWN,7
1971,Jul,WATERLOO,40
1971,Jul,WELLAND,60
1971,Jul,WHITBY,23
1971,Jul,WHITCHUR S,9
1971,Jul,WILLIAMSBU,8
1971,Jul,WILMOT T,8
1971,Jul,WINDSOR,271
1971,Jul,WINGHAM,7
1971,Jul,WOODSTOCK,36
1971,Jul,YORK,64
1971,Jun,AJAX,8
1971,Jun,ALLISTON,6
1971,Jun,AMHERSTBUR,6
1971,Jun,ANCASTER,8
1971,Jun,AURORA,11
1971,Jun,AYLMER,7
1971,Jun,BARRIE,42
1971,Jun,BEAVERTON,6
1971,Jun,BELLEVILLE,39
1971,Jun,BLENHEIM,6
1971,Jun,BOWMANVILL,8
1971,Jun,BRACEBRIDG,9
1971,Jun,BRAMPTON,29
1971,Jun,BRANTFORD,68
1971,Jun,BROCKVILLE,31
1971,Jun,BURLINGTON,44
1971,Jun,CARLETON P,7
1971,Jun,CHATHAM,45
1971,Jun,CHELMSFORD,8
1971,Jun,CHINGUAC T,6
1971,Jun,CLINTON,8
1971,Jun,COBOURG,15
1971,Jun,COCHRANE,6
1971,Jun,COLLINGWOO,11
1971,Jun,CONISTON,6
1971,Jun,COPPER CLI,8
1971,Jun,CORNWALL,64
1971,Jun,DELHI,7
1971,Jun,DRESDEN,6
1971,Jun,DRYDEN,12
1971,Jun,DUNDAS,14
1971,Jun,DUNNVILLE,6
1971,Jun,E YORK,20
1971,Jun,ENGLEHART,10
1971,Jun,ESPANOLA,6
1971,Jun,ESSEX,6
1971,Jun,ETOBICOKE,170
1971,Jun,FERGUS,6
1971,Jun,FT ERIE,15
1971,Jun,FT FRANCES,11
1971,Jun,GALT,32
1971,Jun,GANANOQUE,11
1971,Jun,GARSON,7
1971,Jun,GEORGETOWN,19
1971,Jun,GEORGINA T,11
1971,Jun,GLOUCEST T,13
1971,Jun,GODERICH,12
1971,Jun,GRIMSBY,15
1971,Jun,GUELPH,56
1971,Jun,HAGERSVILL,6
1971,Jun,HAILEYBURY,6
1971,Jun,HAMILTON,325
1971,Jun,HAWKESBURY,16
1971,Jun,HEARST,9
1971,Jun,HESPELER,6
1971,Jun,HUNTSVILLE,13
1971,Jun,INGERSOLL,9
1971,Jun,KAPUSKASIN,12
1971,Jun,KEMPTVILLE,6
1971,Jun,KENORA,15
1971,Jun,KING T,7
1971,Jun,KINGSTON,92
1971,Jun,KINGSTON T,8
1971,Jun,KINGSVILLE,11
1971,Jun,KITCHENER,119
1971,Jun,LAKEFIELD,6
1971,Jun,LANARK,7
1971,Jun,LEAMINGTON,15
1971,Jun,LINCOLN,6
1971,Jun,LINDSAY,14
1971,Jun,LISTOWEL,6
1971,Jun,LONDON,247
1971,Jun,MALAHIDE T,7
1971,Jun,MARKHAM,29
1971,Jun,MEAFORD,8
1971,Jun,MIDLAND,11
1971,Jun,MILTON,9
1971,Jun,MISSISSAUG,88
1971,Jun,MISSISSAUGA,6
1971,Jun,N BAY,44
1971,Jun,N YORK,235
1971,Jun,NEPEAN T,9
1971,Jun,NEW LISKEA,14
1971,Jun,NEWMARKET,10
1971,Jun,NIAGARA FA,54
1971,Jun,NIAGARA L,12
1971,Jun,NORTH YORK,17
1971,Jun,OAKVILLE,37
1971,Jun,ORILLIA,30
1971,Jun,OSHAWA,78
1971,Jun,OTTAWA,475
1971,Jun,OWEN SOUND,23
1971,Jun,PARKHILL,6
1971,Jun,PARRY SOUN,7
1971,Jun,PELHAM,12
1971,Jun,PEMBROKE,24
1971,Jun,PENETANGUI,7
1971,Jun,PERTH,9
1971,Jun,PETERBOROU,62
1971,Jun,PICTON,6
1971,Jun,PRESCOTT,8
1971,Jun,PRESTON,18
1971,Jun,PT COLBORN,16
1971,Jun,PT CREDIT,15
1971,Jun,PT HOPE,12
1971,Jun,RENFREW,9
1971,Jun,RICHMOND H,31
1971,Jun,SA S MARIE,72
1971,Jun,SALTFLEE T,8
1971,Jun,SARNIA,65
1971,Jun,SCARBOROUG,220
1971,Jun,SCARBOROUGH,19
1971,Jun,SIMCOE,13
1971,Jun,SMITHS FAL,19
1971,Jun,ST CATHARI,104
1971,Jun,ST CATHARINES,8
1971,Jun,ST MARYS,9
1971,Jun,ST THOMAS,30
1971,Jun,STONEY CRE,9
1971,Jun,STRATFORD,24
1971,Jun,STRATHROY,10
1971,Jun,STURGEON F,6
1971,Jun,SUDBURY,101
1971,Jun,TECK T,9
1971,Jun,THOROLD,13
1971,Jun,THUNDER B,114
1971,Jun,THUNDER BAY,6
1971,Jun,TILLSONBUR,10
1971,Jun,TIMMINS,44
1971,Jun,TORONTO,1587
1971,Jun,TRENTON,17
1971,Jun,VALLEY E T,6
1971,Jun,VANIER CIT,23
1971,Jun,VAUGHAN,25
1971,Jun,W LINCOL T,6
1971,Jun,WALKERTON,7
1971,Jun,WALLACEBUR,24
1971,Jun,WATERLOO,39
1971,Jun,WELLAND,39
1971,Jun,WHITBY,18
1971,Jun,WHITCHUR S,6
1971,Jun,WINDSOR,222
1971,Jun,WOODSTOCK,44
1971,Jun,YORK,72
1971,Mar,BARRIE,17
1971,Mar,BELLEVILLE,25
1971,Mar,BRAMPTON,24
1971,Mar,BRANTFORD,35
1971,Mar,BROCKVILLE,11
1971,Mar,BURLINGTON,29
1971,Mar,CAMPBELLFO,6
1971,Mar,CHATHAM,26
